intervention,study_id,study_type,title,publication_year,source,has_abstract,abstract_length,hba1c_change,hba1c_change_source,hba1c_change_confidence,glucose_change,glucose_change_source,glucose_change_confidence,triglyceride_change,triglyceride_change_source,triglyceride_change_confidence,hdl_change,hdl_change_source,hdl_change_confidence,ldl_change,ldl_change_source,ldl_change_confidence,condition,phase,enrollment
berberine,PMID_18442638,PubMed,Efficacy of berberine in patients with type 2 diabetes mellitus.,2008,PubMed,True,1655.0,-1.3863260282684213,literature_prior,medium,-18.01580642999305,literature_prior,medium,-27.9913227281649,literature_prior,medium,2.537061974580883,literature_prior,medium,-20.0,extracted_direct_reduction,high,,,
berberine,PMID_33024120,PubMed,Gut microbiome-related effects of berberine and probiotics on type 2 diabetes (the PREMOTE study).,2020,PubMed,True,1283.0,-0.8735400886720306,literature_prior,medium,-18.1810362674731,literature_prior,medium,-23.299299221365587,literature_prior,medium,1.821078327768698,literature_prior,medium,-13.321969563762025,literature_prior,medium,,,
berberine,PMID_40029660,PubMed,Berberine Ursodeoxycholate for the Treatment of Type 2 Diabetes: A Randomized Clinical Trial.,2025,PubMed,True,321.0,-0.8817389981763811,literature_prior,medium,-17.08648659964675,literature_prior,medium,-23.495356276432606,literature_prior,medium,2.2815135379763403,literature_prior,medium,-11.268678023646956,literature_prior,medium,,,
berberine,PMID_35010998,PubMed,"Absorption Kinetics of Berberine and Dihydroberberine and Their Impact on Glycemia: A Randomized, Co...",2021,PubMed,True,1106.0,-0.866659756267049,literature_prior,medium,-20.99380201221477,literature_prior,medium,-26.13451227686195,literature_prior,medium,1.7693888310970383,literature_prior,medium,-12.754167548005817,literature_prior,medium,,,
berberine,PMID_37679692,PubMed,Efficacy and safety of HIMABERB® Berberine on glycemic control in patients with prediabetes: double-...,2023,PubMed,True,431.0,-0.9589979188543009,literature_prior,medium,-21.24523033068057,literature_prior,medium,-22.344668639704274,literature_prior,medium,1.9240631373491426,literature_prior,medium,-11.465292821657224,literature_prior,medium,,,
berberine,PMID_18397984,PubMed,Treatment of type 2 diabetes and dyslipidemia with the natural plant alkaloid berberine.,2008,PubMed,True,281.0,-0.8128547730821086,literature_prior,medium,-19.623888086059495,literature_prior,medium,-27.447168910960194,literature_prior,medium,2.4310346002581715,literature_prior,medium,-12.624944174574525,literature_prior,medium,,,
berberine,PMID_34535644,PubMed,"A phase 2, proof of concept, randomised controlled trial of berberine ursodeoxycholate in patients w...",2021,PubMed,True,1462.0,-0.7102814011047709,literature_prior,medium,-20.35777970636946,literature_prior,medium,-25.80156310438067,literature_prior,medium,2.118890385984541,literature_prior,medium,-10.335865302442455,literature_prior,medium,,,
berberine,PMID_34923903,PubMed,Combined berberine and probiotic treatment as an effective regimen for improving postprandial hyperl...,2022,PubMed,True,1175.0,-0.873562158413279,literature_prior,medium,-15.187607968501132,literature_prior,medium,-27.02182765632497,literature_prior,medium,1.9645833809582907,literature_prior,medium,-11.80249395898005,literature_prior,medium,,,
berberine,PMID_15531889,PubMed,Berberine is a novel cholesterol-lowering drug working through a unique mechanism distinct from stat...,2004,PubMed,True,1032.0,-0.6924840097829806,literature_prior,medium,-21.350191038373218,literature_prior,medium,-24.222625693953038,literature_prior,medium,2.1273989426563937,literature_prior,medium,-11.387859025870297,literature_prior,medium,,,
berberine,PMID_34684666,PubMed,Berberine Phospholipid Is an Effective Insulin Sensitizer and Improves Metabolic and Hormonal Disord...,2021,PubMed,True,1694.0,-0.6771723669045018,literature_prior,medium,-17.02473899280812,literature_prior,medium,-23.795573743219144,literature_prior,medium,2.1922194065881757,literature_prior,medium,-12.118337771092868,literature_prior,medium,,,
berberine,PMID_39998703,PubMed,The efficacy and safety of berberine in combination with cinnamon supplementation in patients with t...,2025,PubMed,True,245.0,-0.8030229039408674,literature_prior,medium,-14.328233172930023,literature_prior,medium,-25.38315421269799,literature_prior,medium,1.849083538962177,literature_prior,medium,-15.33594854483014,literature_prior,medium,,,
berberine,PMID_34444711,PubMed,Effect of Berberine on Cardiovascular Disease Risk Factors: A Mechanistic Randomized Controlled Tria...,2021,PubMed,True,2060.0,-0.9202697992806438,literature_prior,medium,-20.05983538109155,literature_prior,medium,-24.25957884142693,literature_prior,medium,2.163403291276892,literature_prior,medium,-11.089826593721114,literature_prior,medium,,,
berberine,PMID_34556670,PubMed,Berberine is an insulin secretagogue targeting the KCNH6 potassium channel.,2021,PubMed,True,1682.0,-0.7409404585346032,literature_prior,medium,-18.541988739642246,literature_prior,medium,-27.356080456660067,literature_prior,medium,1.487069292430603,literature_prior,medium,-11.841721297656242,literature_prior,medium,,,
berberine,PMID_39042390,PubMed,"Does berberine impact anthropometric, hepatic, and metabolic parameters in patients with metabolic d...",2024,PubMed,True,2167.0,-1.148686484564933,literature_prior,medium,-19.829856455884126,literature_prior,medium,-31.01230200735008,literature_prior,medium,1.900275840186596,literature_prior,medium,-11.920820931210676,literature_prior,medium,,,
berberine,PMID_37522683,PubMed,Berberine phospholipid exerts a positive effect on the glycemic profile of overweight subjects with ...,2023,PubMed,True,367.0,-1.0305089982465085,literature_prior,medium,-20.230268986174853,literature_prior,medium,-24.84322630249439,literature_prior,medium,1.7023075200804212,literature_prior,medium,-15.021155767475669,literature_prior,medium,,,
berberine,PMID_37611246,PubMed,Pilot study on the efficacy and safety of berberine in people with metabolic syndrome and human immu...,2023,PubMed,True,544.0,-1.2388807999162412,literature_prior,medium,-14.13807132747651,literature_prior,medium,-30.50568038605288,literature_prior,medium,1.9524851400629282,literature_prior,medium,-12.159740190006753,literature_prior,medium,,,
berberine,PMID_39107107,PubMed,Inflammatory markers and noncoding-RNAs responses to low and high compressions of HIIT with or witho...,2024,PubMed,True,1374.0,-0.9364013308176752,literature_prior,medium,-15.154672900386508,literature_prior,medium,-25.059616678110224,literature_prior,medium,1.5924551072423168,literature_prior,medium,-13.714078380374154,literature_prior,medium,,,
berberine,PMID_34931749,PubMed,Adjunctive berberine reduces antipsychotic-associated weight gain and metabolic syndrome in patients...,2022,PubMed,True,162.0,-1.201552475125028,literature_prior,medium,-16.72530011757084,literature_prior,medium,-24.56215018125733,literature_prior,medium,2.062364374537084,literature_prior,medium,-14.694019700462725,literature_prior,medium,,,
berberine,PMID_34371883,PubMed,Effect of a New Formulation of Nutraceuticals as an Add-On to Metformin Monotherapy for Patients wit...,2021,PubMed,True,631.0,-0.9547522698219931,literature_prior,medium,-21.0539601787266,literature_prior,medium,-23.28643043293503,literature_prior,medium,2.236574236518236,literature_prior,medium,-6.3338129927631535,literature_prior,medium,,,
berberine,PMID_22313171,PubMed,Activity of isoflavones and berberine on vasomotor symptoms and lipid profile in menopausal women.,2012,PubMed,True,1257.0,-0.9901074472185191,literature_prior,medium,-15.120625233093145,literature_prior,medium,-23.96169512793028,literature_prior,medium,2.3347540992229248,literature_prior,medium,-9.850707521369777,literature_prior,medium,,,
berberine,PMID_33812218,PubMed,The effect of berberine adjunctive treatment on glycolipid metabolism in patients with schizophrenia...,2021,PubMed,True,993.0,-1.0470734277599734,literature_prior,medium,-18.15505414867379,literature_prior,medium,-30.692776538165763,literature_prior,medium,1.8156040899037273,literature_prior,medium,-9.319447569253859,literature_prior,medium,,,
berberine,PMID_23808999,PubMed,"Effect of berberine administration on metabolic syndrome, insulin sensitivity, and insulin secretion...",2013,PubMed,True,143.0,-0.8960921934293649,literature_prior,medium,-20.129136088276095,literature_prior,medium,-27.736141628702637,literature_prior,medium,1.7423212371829206,literature_prior,medium,-9.680704505369771,literature_prior,medium,,,
berberine,PMID_31619442,PubMed,A Phase I Trial of Berberine in Chinese with Ulcerative Colitis.,2020,PubMed,True,1681.0,-0.8578362635232888,literature_prior,medium,-19.933132073569762,literature_prior,medium,-26.96067403636189,literature_prior,medium,2.5952197959887258,literature_prior,medium,-12.08296601327856,literature_prior,medium,,,
berberine,PMID_19800084,PubMed,Berberine lowers blood glucose in type 2 diabetes mellitus patients through increasing insulin recep...,2010,PubMed,True,1506.0,-0.6509389808396671,literature_prior,medium,-21.820749366238754,literature_prior,medium,-25.93783828733865,literature_prior,medium,2.188889191807787,literature_prior,medium,-14.272813552844642,literature_prior,medium,,,
berberine,PMID_33183320,PubMed,"Pharmacokinetics and pharmacodynamics of HTD1801 (berberine ursodeoxycholate, BUDCA) in patients wit...",2020,PubMed,True,493.0,-1.0705918846997693,literature_prior,medium,-18.43611954398319,literature_prior,medium,-29.6473651739801,literature_prior,medium,2.2739229232046623,literature_prior,medium,-11.541281808688643,literature_prior,medium,,,
berberine,PMID_8741209,PubMed,Mechanism and treatment of diarrhoea due to Vibrio cholerae and Escherichia coli: roles of drugs and...,1996,PubMed,True,2832.0,-0.868512806257251,literature_prior,medium,-20.211464664930855,literature_prior,medium,-22.520642391158074,literature_prior,medium,2.379234617172983,literature_prior,medium,-13.103712321626638,literature_prior,medium,,,
berberine,PMID_40258699,PubMed,HTD1801 demonstrates promising potential for histologic improvements in metabolic dysfunction-associ...,2025,PubMed,True,414.0,-0.9515184622784755,literature_prior,medium,-22.497402272851673,literature_prior,medium,-26.547822797238027,literature_prior,medium,2.1224947339833236,literature_prior,medium,-12.641430150832406,literature_prior,medium,,,
berberine,PMID_35255880,PubMed,The effect of barberry (Berberis integerrima) on lipid profile and systemic inflammation in subjects...,2022,PubMed,True,483.0,-0.8818213104295999,literature_prior,medium,-19.36663073566501,literature_prior,medium,-30.35336087996005,literature_prior,medium,1.9072904779947368,literature_prior,medium,-11.480082293751751,literature_prior,medium,,,
berberine,PMID_28704936,PubMed,"Effects of a New Nutraceutical Formulation (Berberine, Red Yeast Rice and Chitosan) on Non-HDL Chole...",2017,PubMed,True,1082.0,-1.073480385851734,literature_prior,medium,-16.928942241892514,literature_prior,medium,-26.01683859481322,literature_prior,medium,1.9135837985830024,literature_prior,medium,-9.5753898399556,literature_prior,medium,,,
curcumin,PMID_36192751,PubMed,Effects of curcumin and/or coenzyme Q10 supplementation on metabolic control in subjects with metabo...,2022,PubMed,True,323.0,-0.4118935115975177,literature_prior,medium,-10.738931693755948,literature_prior,medium,-16.643621773482334,literature_prior,medium,1.3999521879208185,literature_prior,medium,-8.63906499338928,literature_prior,medium,,,
curcumin,PMID_9619120,PubMed,Influence of piperine on the pharmacokinetics of curcumin in animals and human volunteers.,1998,PubMed,True,1316.0,-0.3546429166812765,literature_prior,medium,-5.585082985120848,literature_prior,medium,-16.59617302125668,literature_prior,medium,1.939774732349769,literature_prior,medium,-10.001574484618194,literature_prior,medium,,,
curcumin,PMID_33137599,PubMed,"Effects of curcumin supplementation on blood glucose, insulin resistance and androgens in patients w...",2021,PubMed,True,181.0,-0.5054112843977284,literature_prior,medium,-10.098291234793383,literature_prior,medium,-19.152589869686096,literature_prior,medium,1.4531673284789222,literature_prior,medium,-10.567827896971474,literature_prior,medium,,,
curcumin,PMID_39354480,PubMed,Curcumin extract improves beta cell functions in obese patients with type 2 diabetes: a randomized c...,2024,PubMed,True,360.0,-0.4760416108942931,literature_prior,medium,-8.693380630746198,literature_prior,medium,-18.517783515725363,literature_prior,medium,1.956888409531125,literature_prior,medium,-10.374522225951752,literature_prior,medium,,,
